Time,User,Thread ID,Server ID,Command,Argument
2024-05-17 16:47:08.227919,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs
2024-05-17 16:47:08.228061,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs2
2024-05-17 16:47:08.228160,thaituan[thaituan] @ localhost [],11,1,Query,SHOW /*!50002 FULL*/ TABLES
2024-05-17 16:47:08.228993,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs2
2024-05-17 16:47:08.229135,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs2333
2024-05-17 16:47:08.229238,thaituan[thaituan] @ localhost [],11,1,Query,SHOW /*!50002 FULL*/ TABLES
2024-05-17 16:47:08.230068,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs2333
2024-05-17 16:47:08.230187,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs233fdsfds3
2024-05-17 16:47:08.230274,thaituan[thaituan] @ localhost [],11,1,Query,SHOW /*!50002 FULL*/ TABLES
2024-05-17 16:47:08.231286,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs233fdsfds3
2024-05-17 16:47:08.231441,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs233fdsfds3fgcvcvfhgdgfd
2024-05-17 16:47:08.231545,thaituan[thaituan] @ localhost [],11,1,Query,SHOW /*!50002 FULL*/ TABLES
2024-05-17 16:47:08.232344,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs233fdsfds3fgcvcvfhgdgfd
2024-05-17 16:47:08.232468,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs233fdsfds3fghgdgfd
2024-05-17 16:47:08.232555,thaituan[thaituan] @ localhost [],11,1,Query,SHOW /*!50002 FULL*/ TABLES
2024-05-17 16:47:08.233318,thaituan[thaituan] @ localhost [],11,1,Init DB,xemlogs233fdsfds3fghgdgfd
2024-05-17 16:47:08.234785,thaituan[thaituan] @ localhost [],11,1,Quit,
2024-05-17 16:47:34.493697,[thaituan] @ localhost [],12,1,Connect,thaituan@localhost on  using Socket
2024-05-17 16:47:34.493996,thaituan[thaituan] @ localhost [],12,1,Init DB,mysql
2024-05-17 16:47:34.494167,thaituan[thaituan] @ localhost [],12,1,Query,REPAIR TABLE `general_log`
2024-05-17 16:47:34.498015,thaituan[thaituan] @ localhost [],12,1,Quit,
2024-05-17 16:47:40.530125,thaituan[thaituan] @ localhost [127.0.0.1],9,1,Query,"select * from general_log
LIMIT 0, 1000"
2024-05-17 16:47:40.902199,[thaituan] @ localhost [127.0.0.1],13,1,Connect,thaituan@localhost on  using SSL/TLS
2024-05-17 16:47:40.902413,thaituan[thaituan] @ localhost [127.0.0.1],13,1,Connect,Access denied for user 'thaituan'@'localhost' (using password: NO)
2024-05-17 16:47:43.839829,[thaituan] @ localhost [127.0.0.1],14,1,Connect,thaituan@localhost on  using SSL/TLS
2024-05-17 16:47:43.840742,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,set autocommit=1
2024-05-17 16:47:43.841672,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT current_user()
2024-05-17 16:47:43.842673,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SET CHARACTER SET utf8
2024-05-17 16:47:43.843459,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SET NAMES utf8
2024-05-17 16:47:43.844271,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SHOW SESSION VARIABLES LIKE 'sql_mode'
2024-05-17 16:47:43.849967,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT CONNECTION_ID()
2024-05-17 16:47:43.851285,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,show character set where charset = 'utf8mb4'
2024-05-17 16:47:43.852866,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SET NAMES 'utf8mb4'
2024-05-17 16:47:43.854135,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SHOW SESSION STATUS LIKE 'Ssl_cipher'
2024-05-17 16:47:43.857120,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,USE `mysql`
2024-05-17 16:47:43.858088,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,set autocommit=1
2024-05-17 16:47:43.859048,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_statements_current st JOIN performance_schema.threads thr ON thr.thread_id = st.thread_id WHERE thr.processlist_id = 9
2024-05-17 16:47:43.864198,thaituan[thaituan] @ localhost [127.0.0.1],14,1,Query,SELECT st.* FROM performance_schema.events_stages_history_long st WHERE st.nesting_event_id = 36
